4,  1,  1,  100,  1,  4,  100,  4,  4,  100,  4,  1,  100
4,  3,  6,  100,  6,  6,  100,  6,  3,  100,  3,  3,  100
4,  2,  2,  100,  2,  4,  100,  4,  4,  100,  4,  2,  100
4,  8, 16,  100, 16, 16,  100, 16,  8,  100,  8,  8,  100
4,  8,  8,  100,  8,  9,  100,  9,  9,  100,  9,  8,  100
4, 13, 16,  100, 16, 16,  100, 16, 13,  100, 13, 13,  100
4, 12, 12,  100, 12, 15,  100, 15, 15,  100, 15, 12,  100
4, 11, 14,  100, 14, 14,  100, 14, 11,  100, 11, 11,  100
4, 11, 11,  100, 11, 13,  100, 13, 13,  100, 13, 11,  100
4,  0,  8,  100,  8,  8,  100,  8,  0,  100,  0,  0,  100
4,  5,  5,  100,  5,  9,  100,  9,  9,  100,  9,  5,  100
4,  1,  2,  100,  2,  2,  100,  2,  1,  100,  1,  1,  100
4,  7,  7,  100,  7,  9,  100,  9,  9,  100,  9,  7,  100
4,  6, 10,  100, 10, 10,  100, 10,  6,  100,  6,  6,  100
