4,  0,  0, 100,  0,  4, 100,  4,  4, 100,  4,  0, 100,  0,  0, 100,  0,  0, 100,  0,  0, 100,  0,  0, 100
4,  7,  8, 100,  8,  8, 100,  8,  7, 100,  7,  7, 100,  0,  0, 100,  0,  0, 100,  0,  0, 100,  0,  0, 100
4, 10, 10, 100, 10, 11, 100, 11, 11, 100, 11, 10, 100,  0,  0, 100,  0,  0, 100,  0,  0, 100,  0,  0, 100
4, 15, 21, 100, 21, 21, 100, 21, 15, 100, 15, 15, 100,  0,  0, 100,  0,  0, 100,  0,  0, 100,  0,  0, 100
4, 12, 12, 100, 12, 13, 100, 13, 13, 100, 13, 12, 100,  0,  0, 100,  0,  0, 100,  0,  0, 100,  0,  0, 100
4,  0,  8, 100,  8,  8, 100,  8,  0, 100,  0,  0, 100,  0,  0, 100,  0,  0, 100,  0,  0, 100,  0,  0, 100
6, 14, 14, 100, 14, 21, 100, 21, 21, 100, 21, 15, 100, 15, 15, 100, 15, 14, 100,  0,  0, 100,  0,  0, 100
6, 15, 17, 100, 17, 17, 100, 17, 16, 100, 16, 16, 100, 16, 15, 100, 15, 15, 100,  0,  0, 100,  0,  0, 100
8,  7,  7, 100,  7,  8, 100,  8,  8, 100,  8, 14, 100, 14, 14, 100, 14,  8, 100,  8,  8, 100,  8,  7, 100
8, 10, 16, 100, 16, 16, 100, 16, 13, 100, 13, 13, 100, 13, 12, 100, 12, 12, 100, 12, 10, 100, 10, 10, 100
