4,  6,  6, 100,  6,  7, 100,  7,  7, 100,  7,  6, 100
4,  2,  3, 100,  3,  3, 100,  3,  2, 100,  2,  2, 100
4,  6,  6, 100,  6,  7, 100,  7,  7, 100,  7,  6, 100
4,  5,  6, 100,  6,  6, 100,  6,  5, 100,  5,  5, 100
4,  6,  6, 100,  6,  7, 100,  7,  7, 100,  7,  6, 100
4,  8,  9, 100,  9,  9, 100,  9,  8, 100,  8,  8, 100
4,  6,  6, 100,  6,  7, 100,  7,  7, 100,  7,  6, 100
4, 11, 12, 100, 12, 12, 100, 12, 11, 100, 11, 11, 100
4,  6,  6, 100,  6,  7, 100,  7,  7, 100,  7,  6, 100
4, 14, 15, 100, 15, 15, 100, 15, 14, 100, 14, 14, 100
4, 10, 10, 100, 10, 11, 100, 11, 11, 100, 11, 10, 100
4,  4,  5, 100,  5,  5, 100,  5,  4, 100,  4,  4, 100
4, 10, 10, 100, 10, 11, 100, 11, 11, 100, 11, 10, 100
4,  7,  8, 100,  8,  8, 100,  8,  7, 100,  7,  7, 100
4, 10, 10, 100, 10, 11, 100, 11, 11, 100, 11, 10, 100
4, 10, 11, 100, 11, 11, 100, 11, 10, 100, 10, 10, 100
4, 10, 10, 100, 10, 11, 100, 11, 11, 100, 11, 10, 100
4, 13, 14, 100, 14, 14, 100, 14, 13, 100, 13, 13, 100
4, 10, 10, 100, 10, 11, 100, 11, 11, 100, 11, 10, 100
4, 16, 17, 100, 17, 17, 100, 17, 16, 100, 16, 16, 100
4, 14, 14, 100, 14, 15, 100, 15, 15, 100, 15, 14, 100
4,  5,  6, 100,  6,  6, 100,  6,  5, 100,  5,  5, 100
4, 14, 14, 100, 14, 15, 100, 15, 15, 100, 15, 14, 100
4,  8,  9, 100,  9,  9, 100,  9,  8, 100,  8,  8, 100
4, 14, 14, 100, 14, 15, 100, 15, 15, 100, 15, 14, 100
4, 11, 12, 100, 12, 12, 100, 12, 11, 100, 11, 11, 100
4, 14, 14, 100, 14, 15, 100, 15, 15, 100, 15, 14, 100
4, 14, 15, 100, 15, 15, 100, 15, 14, 100, 14, 14, 100
4, 14, 14, 100, 14, 15, 100, 15, 15, 100, 15, 14, 100
4, 17, 18, 100, 18, 18, 100, 18, 17, 100, 17, 17, 100
